"Package","Version","LibPath"
"rstatix","1.1.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"rstudioapi","0.19.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"rugarch","1.5-6","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"rvest","1.0.5","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"S7","0.2.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"sandwich","3.1-3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"sass","0.4.10","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"scales","1.4.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"secretbase","1.3.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"selectr","0.6-0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"sessioninfo","1.2.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"sfd","0.1.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"shades","1.5.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"shape","1.4.6.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"shapviz","0.10.4","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"shiny","1.14.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"shinyjs","2.1.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"shinyWidgets","0.9.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"SkewHyperbolic","0.4-2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"slider","0.3.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"snakecase","0.11.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"snowflakeauth","0.3.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"sourcetools","0.1.7-2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"SparseM","1.84-2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"sparsevctrs","0.3.6","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"spd","2.0-1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"splitfngr","0.1.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"SQUAREM","2026.1","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"stringfish","0.19.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"stringi","1.8.9","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"stringr","1.6.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"styler","1.11.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"survminer","0.5.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"sys","3.4.3","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"systemfonts","1.3.2","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
"tailor","0.1.0","C:/Users/PPCCpcpc/AppData/Local/R/win-library/4.6"
